s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.2005717E+001, 1.4991634E+002,-4.9107411E+001, 1.6365086E+000,-1.2096399E+001,-1.0086845E-002, 0.0000000E+000, 0.0000000E+000, 9.0235408E+001, 9.0338956E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.3202958E+001, 1.4990855E+002,-4.9041257E+001, 1.3877675E+000,-1.2684289E+001,-1.0111986E-002, 0.0000000E+000, 0.0000000E+000, 8.9628210E+001, 8.9560660E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.4409016E+001, 1.4995138E+002,-4.9436934E+001, 1.4343116E+000,-1.3175338E+001,-1.0099896E-002, 0.0000000E+000, 0.0000000E+000, 8.8795974E+001, 8.8763321E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.5602629E+001, 1.5005352E+002,-4.9524292E+001, 1.4451816E+000,-1.3460050E+001,-1.0085879E-002, 0.0000000E+000, 0.0000000E+000, 8.8514508E+001, 8.8504269E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.6803549E+001, 1.5009609E+002,-4.9625903E+001, 9.9327505E-001,-1.4317233E+001,-1.0077643E-002, 0.0000000E+000, 0.0000000E+000, 8.7339009E+001, 8.7136152E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.8002289E+001, 1.4975738E+002,-4.9659052E+001, 3.6937261E-001,-1.4793081E+001,-1.0078755E-002, 0.0000000E+000, 0.0000000E+000, 8.5710413E+001, 8.5664543E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 1.9206434E+001, 1.5021355E+002,-5.0039182E+001,-1.3621161E+000,-1.4970370E+001,-1.0078458E-002, 0.0000000E+000, 0.0000000E+000, 8.3792056E+001, 8.3831803E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 2.0414970E+001, 1.4980618E+002,-5.0261290E+001,-2.9054979E+000,-1.5189326E+001,-1.0097876E-002, 0.0000000E+000, 0.0000000E+000, 8.1559300E+001, 8.1439964E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 2.1610176E+001, 1.5011892E+002,-5.0462511E+001,-2.3544352E+000,-1.5778529E+001,-1.0109869E-002, 0.0000000E+000, 0.0000000E+000, 8.1517192E+001, 8.1513331E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 2.2800589E+001, 1.4998397E+002,-5.0669291E+001,-1.2518031E+000,-1.6365585E+001,-1.0086155E-002, 0.0000000E+000, 0.0000000E+000, 8.1592826E+001, 8.1687209E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
